seed,module,coverage,mean_distance,gini,training_loss,train_seconds,search_seconds,total_seconds,selected_indices
1010,GCN,0.7615178472110857,4.445740555889426,0.2432617096344203,0.9986146688461304,0.5897384000127204,0.741887999989558,1.3316264000022784,2 20 27 28 39 45 57 61 63 73 75 78
1010,GraphSAGE,0.7083330429884616,4.513861806801044,0.2270494940430069,1.000417947769165,0.6083864000102039,0.8109655000152998,1.4193519000255037,2 7 19 20 27 28 45 50 57 61 63 67
1010,MLP+fixed diffusion,0.7615178472110857,4.445740555889426,0.2432617096344203,0.9994920492172241,0.5278301000071224,0.7131410000147298,1.2409711000218522,2 20 27 28 39 45 57 61 63 73 75 78
1011,GAT,0.6260434918139688,4.7982662171529995,0.22012998873019995,1.0008351802825928,0.6368393000157084,0.8319741000013892,1.4688134000170976,2 10 23 25 27 30 42 50 61 67 71 75
1011,GCN,0.7203102055798514,4.416082985644661,0.2623759986898989,1.0008310079574585,0.5117047000094317,0.780765400006203,1.2924701000156347,17 18 20 23 46 49 57 61 64 66 74 75
1011,GraphSAGE,0.728735226800402,4.523304830642068,0.24818252248698458,1.0011640787124634,0.5377834000100847,0.6916264000174124,1.2294098000274971,10 15 20 23 27 46 51 61 64 66 67 74
1011,MLP+fixed diffusion,0.7271094097314635,4.7263680228043,0.23127961327471214,1.000763177871704,0.581746399984695,0.7659700000076555,1.3477163999923505,2 10 20 23 27 28 49 57 61 63 73 75
1012,GAT,0.7611290012346672,4.527449142167796,0.23737319109968458,1.031480312347412,0.5777705000073183,0.729009100003168,1.3067796000104863,2 5 20 27 37 39 45 61 63 73 74 75
1012,GCN,0.7398119801055624,4.484121149704,0.23344826824828224,1.0316216945648193,0.5124949000019114,0.7773416999843903,1.2898365999863017,2 13 20 27 28 30 39 45 61 63 73 75
1012,GraphSAGE,0.6755325735872194,4.384656206433333,0.23502565295189493,1.0319689512252808,0.5747665999806486,0.959503100020811,1.5342697000014596,8 15 18 23 46 51 61 66 67 71 73 74
1012,MLP+fixed diffusion,0.7085348082878141,4.483542584561468,0.285145017931169,1.0322223901748657,0.5304345000186004,0.6882630999898538,1.2186976000084542,0 2 15 18 20 27 39 41 61 71 73 74
1013,GAT,0.6961272706810394,4.508743368491631,0.23424266784103853,1.0245193243026733,0.625327500019921,0.6952563999802805,1.3205839000002015,1 2 5 7 12 18 20 61 63 71 73 75
1013,GCN,0.7130333267816751,4.337056490177022,0.25827939774122,1.0234215259552002,0.5374372999940533,0.7690101999905892,1.3064474999846425,2 5 13 18 23 25 37 46 61 67 72 73
1013,GraphSAGE,0.7304132094337985,4.551595804613946,0.23232676067853408,1.0235066413879395,0.5548827000020538,0.7789443999936339,1.3338270999956876,2 20 36 45 50 57 61 63 67 71 74 75
1013,MLP+fixed diffusion,0.7145391435948284,4.652060330532796,0.22855525406156274,1.0229706764221191,0.5258903999929316,0.7241405000095256,1.2500309000024572,10 20 23 27 28 30 61 63 67 73 75 78
